step,reward,seed,drd
7200,-24.579666137695312,7265,有责任分发
9600,-24.5439510345459,7265,有责任分发
12000,-21.349416732788086,7265,有责任分发
14400,-24.960952758789062,7265,有责任分发
16800,-22.392032623291016,7265,有责任分发
19200,-25.3354549407959,7265,有责任分发
21600,-21.628416061401367,7265,有责任分发
24000,-21.683561325073242,7265,有责任分发
26400,-24.50710678100586,7265,有责任分发
28800,-22.724658966064453,7265,有责任分发
31200,-23.498809814453125,7265,有责任分发
33600,-23.488149642944336,7265,有责任分发
36000,-21.96678924560547,7265,有责任分发
38400,-20.721939086914062,7265,有责任分发
40800,-22.016357421875,7265,有责任分发
43200,-21.509191513061523,7265,有责任分发
45600,-23.94025993347168,7265,有责任分发
48000,-21.135242462158203,7265,有责任分发
0,-29.303455352783203,1466,无责任分发
2400,-92.0702896118164,1466,无责任分发
4800,-498153.21875,1466,无责任分发
7200,-1028.5965576171875,1466,无责任分发
9600,-5357.07421875,1466,无责任分发
12000,-5646.185546875,1466,无责任分发
14400,-108916.6875,1466,无责任分发
16800,-28728.45703125,1466,无责任分发
19200,-605.6422729492188,1466,无责任分发
21600,-856.8803100585938,1466,无责任分发
24000,-665.7529296875,1466,无责任分发
26400,-1432.6285400390625,1466,无责任分发
28800,-3677.037109375,1466,无责任分发
31200,-232.27761840820312,1466,无责任分发
33600,-1222.109375,1466,无责任分发
36000,-199.71095275878906,1466,无责任分发
38400,-420.234130859375,1466,无责任分发
40800,-566.2162475585938,1466,无责任分发
43200,-270.20703125,1466,无责任分发
45600,-228.21617126464844,1466,无责任分发
48000,-306.5592346191406,1466,无责任分发
0,-35.49612045288086,1466,有责任分发
2400,-23.116926193237305,1466,有责任分发
4800,-25.93088150024414,1466,有责任分发
7200,-24.5599365234375,1466,有责任分发
9600,-44.575042724609375,1466,有责任分发
12000,-26.89479637145996,1466,有责任分发
14400,-21.106523513793945,1466,有责任分发
16800,-19.827390670776367,1466,有责任分发
19200,-21.989940643310547,1466,有责任分发
21600,-21.62714385986328,1466,有责任分发
24000,-22.948476791381836,1466,有责任分发
26400,-20.01722526550293,1466,有责任分发
28800,-21.373594284057617,1466,有责任分发
31200,-20.78272819519043,1466,有责任分发
33600,-20.76826286315918,1466,有责任分发
36000,-24.506006240844727,1466,有责任分发
38400,-22.538116455078125,1466,有责任分发
40800,-23.52163314819336,1466,有责任分发
43200,-22.3177547454834,1466,有责任分发
45600,-21.927017211914062,1466,有责任分发
48000,-20.85920524597168,1466,有责任分发
0,-79.6934585571289,5426,无责任分发
2400,-6898.2158203125,5426,无责任分发
4800,-497603.59375,5426,无责任分发
7200,-498074.90625,5426,无责任分发
9600,-141235.84375,5426,无责任分发
12000,-103979.65625,5426,无责任分发
14400,-96756.4375,5426,无责任分发
16800,-118989.4921875,5426,无责任分发
19200,-17073.30859375,5426,无责任分发
21600,-318.7186584472656,5426,无责任分发
24000,-304.7026062011719,5426,无责任分发
26400,-592.4027709960938,5426,无责任分发
28800,-483.8376159667969,5426,无责任分发
31200,-1126.630126953125,5426,无责任分发
33600,-372.73248291015625,5426,无责任分发
36000,-588.6228637695312,5426,无责任分发
38400,-1123.531005859375,5426,无责任分发
40800,-4137.83544921875,5426,无责任分发
43200,-2518.401123046875,5426,无责任分发
45600,-8563.953125,5426,无责任分发
48000,-9154.1103515625,5426,无责任分发
0,-85.90933227539062,5426,有责任分发
2400,-30.685781478881836,5426,有责任分发
4800,-79.11430358886719,5426,有责任分发
7200,-25.12086296081543,5426,有责任分发
9600,-23.62396240234375,5426,有责任分发
12000,-23.979644775390625,5426,有责任分发
14400,-22.577550888061523,5426,有责任分发
16800,-22.146759033203125,5426,有责任分发
19200,-19.760305404663086,5426,有责任分发
21600,-20.31675148010254,5426,有责任分发
24000,-20.194345474243164,5426,有责任分发
26400,-21.03786849975586,5426,有责任分发
28800,-23.3299617767334,5426,有责任分发
31200,-20.01167869567871,5426,有责任分发
33600,-21.127803802490234,5426,有责任分发
36000,-22.033405303955078,5426,有责任分发
38400,-23.312227249145508,5426,有责任分发
40800,-23.273090362548828,5426,有责任分发
43200,-23.00813865661621,5426,有责任分发
45600,-21.7779483795166,5426,有责任分发
48000,-21.696718215942383,5426,有责任分发
0,-64.6925048828125,6578,无责任分发
2400,-487.72393798828125,6578,无责任分发
4800,-498655.3125,6578,无责任分发
7200,-497816.3125,6578,无责任分发
9600,-476735.0,6578,无责任分发
12000,-419959.90625,6578,无责任分发
14400,-476420.09375,6578,无责任分发
16800,-699.2510375976562,6578,无责任分发
19200,-363.7618103027344,6578,无责任分发
21600,-979.5411987304688,6578,无责任分发
24000,-197.6942596435547,6578,无责任分发
26400,-503.1749572753906,6578,无责任分发
28800,-271.98126220703125,6578,无责任分发
31200,-233.28848266601562,6578,无责任分发
33600,-40.8145866394043,6578,无责任分发
36000,-164.5904541015625,6578,无责任分发
38400,-324.902587890625,6578,无责任分发
40800,-488041.21875,6578,无责任分发
43200,-520.2303466796875,6578,无责任分发
45600,-332.3113098144531,6578,无责任分发
48000,-647.1375122070312,6578,无责任分发
0,-72.08834075927734,6578,有责任分发
2400,-26.340574264526367,6578,有责任分发
4800,-25.701574325561523,6578,有责任分发
7200,-23.122365951538086,6578,有责任分发
9600,-21.455120086669922,6578,有责任分发
12000,-21.710372924804688,6578,有责任分发
14400,-22.307710647583008,6578,有责任分发
16800,-22.351045608520508,6578,有责任分发
19200,-21.893159866333008,6578,有责任分发
21600,-23.82000732421875,6578,有责任分发
24000,-20.39326286315918,6578,有责任分发
26400,-20.898908615112305,6578,有责任分发
28800,-21.242183685302734,6578,有责任分发
31200,-19.642881393432617,6578,有责任分发
33600,-21.191944122314453,6578,有责任分发
36000,-21.417966842651367,6578,有责任分发
38400,-23.099565505981445,6578,有责任分发
40800,-22.971839904785156,6578,有责任分发
43200,-22.645526885986328,6578,有责任分发
45600,-22.391721725463867,6578,有责任分发
48000,-21.85663414001465,6578,有责任分发
0,-5698.06982421875,9322,无责任分发
2400,-136.28758239746094,9322,无责任分发
4800,-498672.3125,9322,无责任分发
7200,-496574.0625,9322,无责任分发
9600,-313306.90625,9322,无责任分发
12000,-496315.90625,9322,无责任分发
14400,-497424.8125,9322,无责任分发
16800,-497454.8125,9322,无责任分发
19200,-496052.65625,9322,无责任分发
21600,-637.1682739257812,9322,无责任分发
24000,-497380.71875,9322,无责任分发
26400,-483865.90625,9322,无责任分发
