step,reward,seed,drd
7200,-9.755452156066895,1466,无责任分发
9600,-10.90990161895752,1466,无责任分发
12000,-10.151638984680176,1466,无责任分发
14400,-10.442436218261719,1466,无责任分发
16800,-11.782401084899902,1466,无责任分发
19200,-11.82049560546875,1466,无责任分发
21600,-11.469948768615723,1466,无责任分发
24000,-11.19101619720459,1466,无责任分发
26400,-12.808603286743164,1466,无责任分发
28800,-11.978442192077637,1466,无责任分发
31200,-12.056380271911621,1466,无责任分发
33600,-11.120414733886719,1466,无责任分发
36000,-12.752534866333008,1466,无责任分发
38400,-10.220125198364258,1466,无责任分发
40800,-11.186807632446289,1466,无责任分发
43200,-12.679903984069824,1466,无责任分发
45600,-12.464157104492188,1466,无责任分发
48000,-12.513885498046875,1466,无责任分发
0,-13.917207717895508,1466,有责任分发
2400,-9.330410957336426,1466,有责任分发
4800,-9.158183097839355,1466,有责任分发
7200,-9.358489036560059,1466,有责任分发
9600,-11.352882385253906,1466,有责任分发
12000,-12.156410217285156,1466,有责任分发
14400,-8.518190383911133,1466,有责任分发
16800,-7.689400672912598,1466,有责任分发
19200,-8.650899887084961,1466,有责任分发
21600,-8.959394454956055,1466,有责任分发
24000,-9.78076171875,1466,有责任分发
26400,-8.242731094360352,1466,有责任分发
28800,-8.918123245239258,1466,有责任分发
31200,-8.723036766052246,1466,有责任分发
33600,-8.819331169128418,1466,有责任分发
36000,-10.514800071716309,1466,有责任分发
38400,-9.074246406555176,1466,有责任分发
40800,-9.787942886352539,1466,有责任分发
43200,-9.034589767456055,1466,有责任分发
45600,-9.11197280883789,1466,有责任分发
48000,-8.689678192138672,1466,有责任分发
0,-68.2896728515625,5426,无责任分发
2400,-8.586990356445312,5426,无责任分发
4800,-13.171771049499512,5426,无责任分发
7200,-52.017982482910156,5426,无责任分发
9600,-35.248043060302734,5426,无责任分发
12000,-9.580808639526367,5426,无责任分发
14400,-8.805707931518555,5426,无责任分发
16800,-9.399998664855957,5426,无责任分发
19200,-10.855591773986816,5426,无责任分发
21600,-9.787370681762695,5426,无责任分发
24000,-10.485358238220215,5426,无责任分发
26400,-11.244433403015137,5426,无责任分发
28800,-11.77021312713623,5426,无责任分发
31200,-13.421175003051758,5426,无责任分发
33600,-12.628143310546875,5426,无责任分发
36000,-12.240367889404297,5426,无责任分发
38400,-12.461385726928711,5426,无责任分发
40800,-12.012444496154785,5426,无责任分发
43200,-9.191492080688477,5426,无责任分发
45600,-11.240595817565918,5426,无责任分发
48000,-11.591635704040527,5426,无责任分发
0,-71.58126068115234,5426,有责任分发
2400,-11.715632438659668,5426,有责任分发
4800,-9.975790977478027,5426,有责任分发
7200,-9.698686599731445,5426,有责任分发
9600,-9.123501777648926,5426,有责任分发
12000,-8.992169380187988,5426,有责任分发
14400,-9.245343208312988,5426,有责任分发
16800,-8.474688529968262,5426,有责任分发
19200,-8.053884506225586,5426,有责任分发
21600,-7.674354076385498,5426,有责任分发
24000,-8.357657432556152,5426,有责任分发
26400,-8.917097091674805,5426,有责任分发
28800,-9.58923053741455,5426,有责任分发
31200,-8.400378227233887,5426,有责任分发
33600,-8.833662986755371,5426,有责任分发
36000,-9.214648246765137,5426,有责任分发
38400,-9.559731483459473,5426,有责任分发
40800,-9.789117813110352,5426,有责任分发
43200,-9.095294952392578,5426,有责任分发
45600,-8.379786491394043,5426,有责任分发
48000,-8.467280387878418,5426,有责任分发
0,-25.825464248657227,6578,无责任分发
2400,-10.74112319946289,6578,无责任分发
4800,-69.54510498046875,6578,无责任分发
7200,-465604.90625,6578,无责任分发
9600,-9969.482421875,6578,无责任分发
12000,-11.681727409362793,6578,无责任分发
14400,-30.340789794921875,6578,无责任分发
16800,-77.3834457397461,6578,无责任分发
19200,-32.12545394897461,6578,无责任分发
21600,-8.811988830566406,6578,无责任分发
24000,-17.512542724609375,6578,无责任分发
26400,-10.392653465270996,6578,无责任分发
28800,-11.286148071289062,6578,无责任分发
31200,-11.68983268737793,6578,无责任分发
33600,-12.20829963684082,6578,无责任分发
36000,-10.384016990661621,6578,无责任分发
38400,-13.312646865844727,6578,无责任分发
40800,-11.723101615905762,6578,无责任分发
43200,-12.694510459899902,6578,无责任分发
45600,-14.228759765625,6578,无责任分发
48000,-13.558557510375977,6578,无责任分发
0,-29.874998092651367,6578,有责任分发
2400,-9.817719459533691,6578,有责任分发
4800,-9.072853088378906,6578,有责任分发
7200,-8.728297233581543,6578,有责任分发
9600,-8.037775993347168,6578,有责任分发
12000,-8.277948379516602,6578,有责任分发
14400,-9.064974784851074,6578,有责任分发
16800,-9.329208374023438,6578,有责任分发
19200,-8.0086088180542,6578,有责任分发
21600,-9.154352188110352,6578,有责任分发
24000,-8.132675170898438,6578,有责任分发
26400,-8.59698486328125,6578,有责任分发
28800,-8.639947891235352,6578,有责任分发
31200,-8.134535789489746,6578,有责任分发
33600,-8.822397232055664,6578,有责任分发
36000,-9.338383674621582,6578,有责任分发
38400,-9.711320877075195,6578,有责任分发
40800,-8.845902442932129,6578,有责任分发
43200,-9.298018455505371,6578,有责任分发
45600,-8.90198802947998,6578,有责任分发
48000,-8.798884391784668,6578,有责任分发
0,-8.825446128845215,9322,无责任分发
2400,-8.279189109802246,9322,无责任分发
4800,-9.251583099365234,9322,无责任分发
7200,-8.090089797973633,9322,无责任分发
9600,-11.87726879119873,9322,无责任分发
12000,-10.978466033935547,9322,无责任分发
14400,-10.3968505859375,9322,无责任分发
16800,-10.950446128845215,9322,无责任分发
19200,-8.938305854797363,9322,无责任分发
21600,-13.279894828796387,9322,无责任分发
24000,-10.070345878601074,9322,无责任分发
26400,-11.380141258239746,9322,无责任分发
28800,-10.875601768493652,9322,无责任分发
31200,-9.51126480102539,9322,无责任分发
33600,-11.291583061218262,9322,无责任分发
36000,-13.364877700805664,9322,无责任分发
38400,-18.276700973510742,9322,无责任分发
40800,-29.272985458374023,9322,无责任分发
43200,-16.322738647460938,9322,无责任分发
45600,-16.399810791015625,9322,无责任分发
48000,-18.253253936767578,9322,无责任分发
0,-12.891324043273926,9322,有责任分发
2400,-10.261527061462402,9322,有责任分发
4800,-10.214888572692871,9322,有责任分发
7200,-10.726736068725586,9322,有责任分发
9600,-9.688309669494629,9322,有责任分发
12000,-9.291460990905762,9322,有责任分发
14400,-9.73442268371582,9322,有责任分发
16800,-9.829771995544434,9322,有责任分发
19200,-8.574856758117676,9322,有责任分发
21600,-9.539137840270996,9322,有责任分发
24000,-8.943177223205566,9322,有责任分发
26400,-8.527273178100586,9322,有责任分发
28800,-9.05212116241455,9322,有责任分发
31200,-8.766837120056152,9322,有责任分发
33600,-9.82507610321045,9322,有责任分发
36000,-8.787869453430176,9322,有责任分发
38400,-9.295866966247559,9322,有责任分发
40800,-10.654251098632812,9322,有责任分发
43200,-8.95825481414795,9322,有责任分发
45600,-8.5681791305542,9322,有责任分发
48000,-10.02745532989502,9322,有责任分发
