anal_idx,initial_region_ratio,no_initial_region_ratio,known_cnt,pearson_r,p_value,mse,r2
1,0.8,0.6,412.0,,,0.11804455518722534,-0.1773695945739746
1,0.8,0.7,467.0,,,0.15206684172153473,-0.2059001475572586
1,0.8,0.8,523.0,,,0.21604850888252258,-0.2668285369873047
1,0.8,0.9,578.0,,,0.37071964144706726,-0.45208168029785156
1,0.8,1.0,634.0,,,1.4022103548049927,-473.58428955078125
1,0.9,0.1,145.0,,,0.029927290976047516,-0.1436680555343628
1,0.9,0.2,200.0,,,0.03327056020498276,-0.14074474573135376
1,0.9,0.3,256.0,,,0.03761811554431915,-0.13856279850006104
1,0.9,0.4,311.0,,,0.043269503861665726,-0.1373286247253418
1,0.9,0.5,367.0,,,0.05123484134674072,-0.1373085379600525
1,0.9,0.6,422.0,,,0.06282170861959457,-0.14128749072551727
1,0.9,0.7,477.0,,,0.08160649985074997,-0.1511048972606659
1,0.9,0.8,533.0,,,0.11826618015766144,-0.17687736451625824
1,0.9,0.9,588.0,,,0.2148870825767517,-0.2651386559009552
1,0.9,1.0,644.0,,,1.4052062034606934,-598.2310791015625
1,1.0,0.1,155.0,,,0.002366594271734357,-1.748905062675476
1,1.0,0.2,210.0,,,0.0023711114190518856,-1.7476574182510376
1,1.0,0.3,266.0,,,0.0023710010573267937,-1.7594103813171387
1,1.0,0.4,321.0,,,0.002370507689192891,-1.762906551361084
1,1.0,0.5,377.0,,,0.002355012809857726,-1.7589460611343384
1,1.0,0.6,432.0,,,0.002353938529267907,-1.7854347229003906
1,1.0,0.7,487.0,,,0.002349037444218993,-1.7923675775527954
1,1.0,0.8,543.0,,,0.0023256323765963316,-1.8168821334838867
1,1.0,0.9,598.0,,,0.0023300820030272007,-1.8520528078079224
1,1.0,1.0,654.0,1.0,0.0,0.0,1.0
3,0.1,0.1,65.0,0.8358972072601318,0.0,0.2925831079483032,0.11813373863697052
3,0.1,0.2,120.0,0.842653751373291,0.0,0.37574315071105957,-0.05027144029736519
3,0.1,0.3,176.0,0.8492998480796814,0.0,0.45304813981056213,-0.16602790355682373
3,0.1,0.4,231.0,0.8549755215644836,0.0,0.5352222323417664,-0.26151323318481445
3,0.1,0.5,287.0,0.860258936882019,0.0,0.6338462233543396,-0.35522928833961487
3,0.1,0.6,342.0,0.8631773591041565,0.0,0.7574830055236816,-0.46506592631340027
3,0.1,0.7,397.0,0.8637800812721252,0.0,0.9286270141601562,-0.6214005351066589
3,0.1,0.8,453.0,0.8593466281890869,3.923635700109488e-43,1.1938058137893677,-0.9125514030456543
3,0.1,0.9,508.0,0.8366649150848389,2.7495702555089646e-27,1.6476471424102783,-1.7158749103546143
3,0.1,1.0,564.0,0.7160397171974182,2.529052665067866e-07,2.672675371170044,-39.68918991088867
3,0.2,0.1,75.0,0.8794575333595276,0.0,0.18554198741912842,0.37846648693084717
3,0.2,0.2,130.0,0.8831470012664795,0.0,0.25434204936027527,0.21242868900299072
3,0.2,0.3,186.0,0.8866180181503296,0.0,0.3227091133594513,0.08360058069229126
3,0.2,0.4,241.0,0.8900449275970459,0.0,0.3957245349884033,-0.023898160085082054
3,0.2,0.5,297.0,0.8934004306793213,0.0,0.48284539580345154,-0.12560556828975677
3,0.2,0.6,352.0,0.8956598043441772,0.0,0.5912487506866455,-0.2353861778974533
3,0.2,0.7,407.0,0.8960033655166626,0.0,0.7410405874252319,-0.3792513310909271
3,0.2,0.8,463.0,0.8927448987960815,0.0,0.9755103588104248,-0.6308898329734802
