scenario,window,metric,n,mean,sample_sd,se,ci_low,ci_high,median,iqr,score_overflow_count
high,14,C_Q,100,42669.7530859375,2649.617593730767,264.9617593730767,42144.01147148787,43195.49470038712,42492.916015625,2398.8232421875,0
high,14,score,100,4.7835648270890765,0.26709383573184226,0.026709383573184226,4.730567615438817,4.836562038739336,4.760756551459197,0.24491746386365865,0
high,14,log_score,100,1.5636948211761779,0.0544497084124438,0.00544497084124438,1.5528908177325103,1.5744988246198455,1.5604064878252673,0.05158289637466429,0
high,21,rmse_global_run,100,16.343359921403856,2.152389593455654,0.2152389593455654,15.916279129645297,16.770440713162415,15.915218476648821,1.4619448940270203,0
high,21,rmse_local_day2_run,100,0.024636975669841438,0.001658396219730791,0.0001658396219730791,0.024307913880690663,0.024966037458992212,0.024674164282234852,0.0025113858725594462,0
high,21,C_I,100,580.5092211914063,28.20747179470747,2.820747179470747,574.9122468219801,586.1061955608324,576.7100524902344,39.68577575683594,0
high,21,N_test,100,3409052.86,267510.0613573455,26751.006135734548,3355973.0601555626,3462132.659844437,3380348.75,300002.25,0
high,21,N_iso,100,534.0263024902343,21.730629515760647,2.173062951576065,529.7144741450217,538.338130835447,531.177978515625,30.759933471679688,0
high,21,C_Q,100,43147.186875,3347.9116748281153,334.79116748281155,42482.888565265224,43811.485184734775,42773.513671875,3729.6767578125,0
high,21,score,100,4.8378609949924165,0.35368971441701286,0.035368971441701286,4.767681282300367,4.908040707684466,4.788261974521513,0.3655978683695187,0
high,21,log_score,100,1.5739875138001056,0.06981283684493117,0.006981283684493117,1.5601351323700434,1.5878398952301678,1.5661662532899072,0.07647267703540339,0
low,3,rmse_global_run,100,26.25842559198493,3.8414872075315047,0.3841487207531505,25.496191188366154,27.020659995603708,25.252392125013426,5.273498549044078,0
low,3,rmse_local_day2_run,100,0.01730508181418247,0.001750586498074203,0.0001750586498074203,0.016957727473726366,0.017652436154638577,0.0170230626266223,0.0019716302849710245,0
low,3,C_I,100,568.594270324707,208.04503058621998,20.804503058621997,527.313622688075,609.8749179613391,482.8453826904297,186.72430419921875,0
low,3,N_test,100,3185510.5425,517167.0890382338,51716.70890382338,3082893.3720167936,3288127.7129832064,3110081.75,715816.5625,0
low,3,N_iso,100,407.9204797363281,121.47007896571468,12.147007896571468,383.81818075784116,432.02277871481505,357.454345703125,108.54257202148438,0
low,3,C_Q,100,40226.80236328125,6557.57345141018,655.7573451410179,38925.63752297611,41527.967203586384,39188.59375,9002.7041015625,0
low,3,score,100,4.606678861409196,0.8169015050217446,0.08169015050217446,4.444587880011486,4.768769842806906,4.3735921900831105,0.8528479229772161,0
low,3,log_score,100,1.5141044159344197,0.15908990727231945,0.015908990727231946,1.4825375268520515,1.5456713050167878,1.4755803161953631,0.1914393517277544,0
low,7,rmse_global_run,100,28.308895092150564,2.80420097660021,0.28042009766002096,27.75248078082983,28.865309403471297,27.865946592011245,3.0708798817591827,0
low,7,rmse_local_day2_run,100,0.01582967607220702,0.0016638900830801906,0.00016638900830801906,0.015499524181377528,0.01615982796303651,0.0156256533100988,0.0017443354135306503,0
low,7,C_I,100,381.07727478027346,12.023698815501952,1.202369881550195,378.69151207931804,383.46303748122887,381.41070556640625,14.213394165039062,0
low,7,N_test,100,2941041.79,326542.03552039847,32654.203552039846,2876248.7657740274,3005834.8142259726,2906434.5,318431.4375,0
low,7,N_iso,100,304.498525390625,7.1350745641342606,0.7135074564134261,303.0827718005816,305.91427898066837,304.26629638671875,8.29974365234375,0
low,7,C_Q,100,37067.52103515625,4084.36602142518,408.436602142518,36257.09420556846,37877.94786474404,36646.494140625,3986.7744140625,0
low,7,score,100,4.1453561743704395,0.3588468448471207,0.03588468448471207,4.074153175116333,4.216559173624546,4.090985758520793,0.33274182747741055,0
low,7,log_score,100,1.4185176724910604,0.08251368770360419,0.00825136877036042,1.4021451667037619,1.434890178278359,1.4087859332065444,0.08107435508330019,0
low,14,rmse_global_run,100,27.234678792379338,2.848055081758906,0.28480550817589056,26.669562875173693,27.799794709584983,26.82277651362522,2.862156725339613,0
low,14,rmse_local_day2_run,100,0.01934966705428569,0.0018949502119692892,0.00018949502119692892,0.018973667821000247,0.019725666287571136,0.0193633579863703,0.0022895724389834747,0
low,14,C_I,100,403.53586822509766,17.352613940363423,1.7352613940363422,400.09273315175216,406.97900329844316,402.06748962402344,22.840255737304688,0
low,14,N_test,100,2694257.0575,287640.30372410617,28764.030372410616,2637182.980841352,2751331.134158648,2661833.375,334807.625,0
low,14,N_iso,100,315.1988409423828,10.208722735365825,1.0208722735365825,313.1732088719063,317.2244730128593,314.90179443359375,14.034507751464844,0
low,14,C_Q,100,33993.41208984375,3600.2616614141148,360.02616614141147,33279.042067999275,34707.78211168822,33594.6484375,4186.6357421875,0
low,14,score,100,3.9132070739608324,0.28638355456983167,0.028638355456983167,3.856382363599755,3.9700317843219097,3.8631549974886563,0.30727771986742525,0
low,14,log_score,100,1.3617997135563047,0.07128031797519645,0.007128031797519645,1.3476561520327732,1.3759432750798362,1.351484192091014,0.07932854314840299,0
low,21,rmse_global_run,100,28.330028563361296,2.680937029361534,0.2680937029361534,27.798072493402646,28.861984633319945,27.883827287745568,2.742366873780437,0
low,21,rmse_local_day2_run,100,0.015791218525404032,0.0017554193939709084,0.00017554193939709086,0.015442905233551614,0.01613953181725645,0.01549476612231545,0.0018609971080976243,0
low,21,C_I,100,376.6605352783203,10.615044468299562,1.0615044468299561,374.55428016081845,378.76679039582217,376.76173400878906,13.14385986328125,0
low,21,N_test,100,2972836.3775,305937.42724271375,30593.742724271375,2912131.754576405,3033541.000423595,2962893.375,312566.5625,0
low,21,N_iso,100,302.21221923828125,6.170935729344253,0.6170935729344252,300.9877717101977,303.4366667663648,302.0346374511719,7.6714935302734375,0
low,21,C_Q,100,37462.66701171875,3826.629729842906,382.6629729842906,36703.380654008615,38221.95336942889,37340.359375,3913.90625,0
low,21,score,100,4.172181732387171,0.3254128781461792,0.03254128781461792,4.1076127574814825,4.236750707292859,4.148942816762549,0.3260016639734111,0
low,21,log_score,100,1.425491454618544,0.07681967085214432,0.007681967085214432,1.4102487653071298,1.4407341439299581,1.4228535585816648,0.07914871652365907,0
